Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1992-06-30,139.79999999999998,7.6000000000000005,472.911,3.1,6470.763,4155.7,1175.4,18.3,1310.2,3.4,3.7699999999999996,81.258434
1992-09-30,140.9,7.633333333333333,447.506,3.1,6566.641,4227.0,1126.0,17.4,1318.3,2.5,3.2566666666666664,81.258434
1992-12-31,141.9,7.366666666666667,428.287,3.033333333333333,6680.803,4307.2,1134.7,17.3,1351.7,2.4,3.0366666666666666,81.258434
1993-03-31,143.1,7.133333333333333,430.371,3.1999999999999997,6729.459,4349.5,1131.5,17.2,1372.3,2.2,3.0399999999999996,79.179860925
1993-06-30,144.20000000000002,7.066666666666666,409.397,3.1333333333333333,6808.939,4418.6,1168.5,17.5,1387.7,2.6,3.0,79.179860925
1993-09-30,144.76666666666668,6.8,367.083,2.766666666666667,6882.098,4487.2,1144.1,16.9,1386.5,2.0,3.06,79.179860925
1993-12-31,145.76666666666668,6.633333333333333,363.501,2.733333333333333,7013.738,4552.7,1211.5,17.5,1448.3,2.7,2.99,79.179860925
1994-03-31,146.7,6.566666666666666,344.59,2.5,7115.652,4621.2,1233.0,17.7,1485.4,2.9,3.2133333333333334,77.021
1994-06-30,147.63333333333333,6.2,358.4,2.4,7246.931,4683.2,1297.3,18.2,1555.2,3.5,3.94,77.021
1994-09-30,148.9333333333333,6.0,351.081,2.9,7331.075,4752.8,1306.9,18.1,1553.8,3.4,4.486666666666667,77.021
1994-12-31,149.63333333333333,5.633333333333333,374.72,2.6666666666666665,7455.288,4826.7,1346.1,18.3,1608.2,3.6,5.166666666666667,77.021
