Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1972-06-30,41.6,5.7,102.435,3.1333333333333333,1266.369,757.4,265.7,21.1,287.7,8.5,4.3,20.1770177425
1972-09-30,42.0,5.566666666666666,108.686,3.0,1290.566,775.8,279.8,21.7,292.3,9.1,4.743333333333333,20.1770177425
1972-12-31,42.4,5.366666666666667,127.638,3.5,1328.904,800.5,302.1,22.5,302.3,10.1,5.1466666666666665,20.1770177425
1973-03-31,42.93333333333334,4.933333333333334,121.706,4.033333333333333,1377.49,825.0,316.0,22.9,320.5,10.5,6.536666666666666,20.3674486025
1973-06-30,43.9,4.933333333333334,132.656,5.533333333333334,1413.887,840.5,324.8,23.0,333.7,10.6,7.816666666666666,20.3674486025
1973-09-30,44.866666666666674,4.8,136.625,6.833333333333333,1433.838,858.9,339.0,23.5,329.0,10.9,10.56,20.3674486025
1973-12-31,45.9,4.766666666666667,152.26,8.266666666666667,1476.289,873.9,361.4,24.3,347.1,11.7,9.996666666666666,20.3674486025
1974-03-31,47.20000000000001,5.133333333333333,148.705,9.933333333333332,1491.209,891.9,355.8,23.6,339.3,10.7,9.323333333333332,22.319730085
1974-06-30,48.53333333333333,5.2,139.623,10.566666666666665,1530.056,920.4,346.4,22.5,353.4,9.4,11.25,22.319730085
1974-09-30,50.0,5.633333333333333,140.248,11.433333333333332,1560.026,949.3,345.9,22.0,349.2,8.6,12.089999999999998,22.319730085
1974-12-31,51.5,6.6000000000000005,156.54,12.199999999999998,1599.679,959.1,348.7,21.8,360.8,8.1,9.346666666666666,22.319730085
1975-03-31,52.43333333333334,8.266666666666666,148.642,11.1,1616.116,985.2,329.8,20.5,327.3,6.3,6.303333333333334,23.0202321875
1975-06-30,53.23333333333333,8.866666666666667,188.469,9.700000000000001,1651.853,1013.6,330.0,20.0,322.4,5.7,5.419999999999999,23.0202321875
1975-09-30,54.36666666666667,8.466666666666667,158.871,8.733333333333333,1709.82,1047.2,360.1,21.0,350.7,6.9,6.16,23.0202321875
1975-12-31,55.23333333333333,8.299999999999999,160.137,7.233333333333334,1761.831,1076.2,372.6,21.1,366.1,7.1,5.413333333333334,23.0202321875
1976-03-31,55.76666666666667,7.733333333333333,156.309,6.366666666666667,1820.487,1109.9,392.0,21.6,397.5,7.7,4.826666666666667,23.67881277
1976-06-30,56.46666666666666,7.566666666666666,154.796,6.066666666666666,1852.332,1129.5,399.3,21.6,411.3,7.7,5.196666666666666,23.67881277
1976-09-30,57.36666666666667,7.733333333333333,155.407,5.533333333333334,1886.558,1158.8,402.1,21.3,417.0,7.4,5.283333333333333,23.67881277
1976-12-31,58.03333333333334,7.766666666666667,151.034,5.1000000000000005,1934.273,1192.4,403.8,21.0,425.6,7.0,4.873333333333334,23.67881277
1977-03-31,59.03333333333333,7.5,141.85,5.833333333333333,1988.648,1228.2,416.0,21.0,451.7,7.0,4.66,26.16630475
1977-06-30,60.333333333333336,7.133333333333333,150.38,6.866666666666667,2055.909,1256.0,454.4,22.1,483.9,8.2,5.156666666666666,26.16630475
1977-09-30,61.199999999999996,6.8999999999999995,160.425,6.666666666666667,2118.473,1286.9,479.3,22.6,507.8,8.8,5.82,26.16630475
1977-12-31,61.86666666666667,6.666666666666667,171.127,6.6000000000000005,2164.27,1324.8,488.0,22.4,515.7,8.5,6.513333333333333,26.16630475
1978-03-31,62.93333333333334,6.333333333333333,177.613,6.599999999999999,2202.76,1354.1,500.5,22.5,528.3,8.5,6.756666666666667,28.345515925
